datetime,date,hour,frequency_demand,frequency_price
2025-07-06 07:00:00,2025-07-06,7,525.1,3.270833333333333
2025-07-06 08:00:00,2025-07-06,8,525.0,0.1383333333333333
2025-07-06 09:00:00,2025-07-06,9,798.2583333333333,0.9933333333333332
2025-07-06 10:00:00,2025-07-06,10,788.1,0.6841666666666667
2025-07-06 11:00:00,2025-07-06,11,800.0,0.6308333333333334
2025-07-06 12:00:00,2025-07-06,12,799.9,3.7525
2025-07-06 13:00:00,2025-07-06,13,800.0,0.5516666666666666
2025-07-06 14:00:00,2025-07-06,14,799.9,2.7116666666666664
2025-07-06 15:00:00,2025-07-06,15,800.0,2.3966666666666665
2025-07-06 16:00:00,2025-07-06,16,800.0,2.2266666666666666
2025-07-06 17:00:00,2025-07-06,17,800.0,0.7625000000000001
2025-07-06 18:00:00,2025-07-06,18,527.9,0.0
2025-07-06 19:00:00,2025-07-06,19,525.3,0.7916666666666666
2025-07-06 20:00:00,2025-07-06,20,526.8,0.0
2025-07-06 21:00:00,2025-07-06,21,526.7,0.0
2025-07-06 22:00:00,2025-07-06,22,800.0,0.0
2025-07-06 23:00:00,2025-07-06,23,800.0,0.0
2025-07-07 00:00:00,2025-07-07,0,800.0,0.0
2025-07-07 01:00:00,2025-07-07,1,788.5416666666666,0.0
2025-07-07 02:00:00,2025-07-07,2,787.7000000000002,0.0
2025-07-07 03:00:00,2025-07-07,3,795.0916666666667,2.3058333333333336
2025-07-07 04:00:00,2025-07-07,4,516.1833333333334,4.121666666666667
2025-07-07 05:00:00,2025-07-07,5,525.0,1.9741666666666668
2025-07-07 06:00:00,2025-07-07,6,525.1,1.6133333333333333
2025-07-07 07:00:00,2025-07-07,7,525.1,1.03
2025-07-07 08:00:00,2025-07-07,8,525.0,2.4325
2025-07-07 09:00:00,2025-07-07,9,800.1,1.8008333333333333
2025-07-07 10:00:00,2025-07-07,10,800.0,1.51
2025-07-07 11:00:00,2025-07-07,11,800.0,1.25
2025-07-07 12:00:00,2025-07-07,12,800.0,1.62
2025-07-07 13:00:00,2025-07-07,13,810.4,2.6908333333333334
2025-07-07 14:00:00,2025-07-07,14,800.0,1.8983333333333332
2025-07-07 15:00:00,2025-07-07,15,797.5833333333334,2.123333333333333
2025-07-07 16:00:00,2025-07-07,16,803.9833333333332,0.9066666666666668
2025-07-07 17:00:00,2025-07-07,17,806.4583333333334,0.8491666666666666
2025-07-07 18:00:00,2025-07-07,18,525.0,1.096666666666667
2025-07-07 19:00:00,2025-07-07,19,525.0,0.0
2025-07-07 20:00:00,2025-07-07,20,524.9250000000001,0.0
2025-07-07 21:00:00,2025-07-07,21,524.5,0.0
2025-07-07 22:00:00,2025-07-07,22,799.9,0.0
2025-07-07 23:00:00,2025-07-07,23,800.0,0.0
2025-07-08 00:00:00,2025-07-08,0,800.0,0.0
2025-07-08 01:00:00,2025-07-08,1,800.0,0.0
2025-07-08 02:00:00,2025-07-08,2,800.0,1.1566666666666665
2025-07-08 03:00:00,2025-07-08,3,765.6083333333332,0.1233333333333333
